Ax,Ay,Az,Gx,Gy,Gz,Label
0.06,-0.03,1.05,-1.05,2.76,0.08,ATAS
0.04,-0.04,1.06,-1.05,1.24,0.23,ATAS
0.05,-0.03,1.07,-0.76,-0.27,0.22,ATAS
0.06,-0.04,1.06,-0.74,0.06,0.14,ATAS
0.05,-0.04,1.06,-1.12,-0.98,0.02,ATAS
0.06,-0.03,1.06,-1.34,-0.92,0.16,ATAS
0.05,-0.03,1.05,-1.15,1.97,0.22,ATAS
0.05,-0.03,1.06,-1.33,-0.03,0.05,ATAS
0.04,-0.03,1.07,-1.11,0.4,0.23,ATAS
0.06,-0.03,1.06,-1.11,-0.02,0.12,ATAS
0.06,-0.04,1.06,-1.24,-0.4,0.18,ATAS
0.05,-0.03,1.05,-1.05,0.52,0.02,ATAS
0.04,-0.04,1.06,-0.98,1.44,0.16,ATAS
0.04,-0.04,1.06,-0.85,-0.79,0.1,ATAS
0.05,-0.03,1.06,-1.08,0.46,0.24,ATAS
0.06,-0.04,1.06,-1,1.04,-0.08,ATAS
0.05,-0.04,1.06,-0.95,0.47,0.13,ATAS
0.05,-0.04,1.06,-1.26,1.29,0.26,ATAS
0.05,-0.03,1.06,-0.92,-1.18,0.36,ATAS
0.04,-0.04,1.07,-0.93,-0.04,0.41,ATAS
0.04,-0.04,1.06,-1.01,-0.11,0.15,ATAS
0.05,-0.04,1.06,-1.28,-0.01,0.18,ATAS
0.05,-0.03,1.06,-0.59,-1.42,0.21,ATAS
0.06,-0.04,1.06,-0.94,-0.53,-0.1,ATAS
0.04,-0.03,1.06,-1.04,0.79,0.1,ATAS
0.05,-0.03,1.07,-0.99,1.22,0.2,ATAS
0.05,-0.04,1.05,-1.32,-0.24,0.13,ATAS
0.05,-0.03,1.06,-1.11,-0.78,0.17,ATAS
0.05,-0.03,1.05,-0.89,-0.89,-0.01,ATAS
0.05,-0.05,1.06,-1.03,-0.09,0.18,ATAS
0.05,-0.04,1.06,-1.08,1.36,-0.02,ATAS
0.04,-0.03,1.06,-0.93,0.35,0.22,ATAS
0.05,-0.03,1.06,-1.23,0.53,0.08,ATAS
0.05,-0.04,1.06,-0.9,0.86,0.18,ATAS
0.05,-0.03,1.06,-0.96,0.37,0.15,ATAS
0.05,-0.04,1.06,-1.07,1.6,0.24,ATAS
0.05,-0.03,1.06,-1.06,-0.25,0.15,ATAS
0.05,-0.04,1.06,-1.15,1.89,0.09,ATAS
0.05,-0.03,1.06,-1.11,-0.33,0.06,ATAS
0.05,-0.04,1.06,-1.11,1.06,0.08,ATAS
0.06,-0.04,1.06,-1.21,0.03,0.11,ATAS
0.05,-0.04,1.06,-1.31,1.52,0.25,ATAS
0.04,-0.04,1.07,-0.93,0.39,0.11,ATAS
0.05,-0.03,1.05,-0.97,-0.33,0.11,ATAS
0.05,-0.03,1.07,-1.1,0.31,0.19,ATAS
0.04,-0.03,1.06,-1.31,0.05,0.14,ATAS
0.06,-0.03,1.06,-0.95,-0.25,0.18,ATAS
0.04,-0.04,1.07,-0.95,-0.53,-0.08,ATAS
0.05,-0.04,1.05,-1.06,1.11,0.07,ATAS
0.05,-0.04,1.06,-1.01,0.62,0.02,ATAS
0.04,-0.04,1.06,-0.95,0.21,0.22,ATAS
0.05,-0.04,1.06,-1.09,1.15,-0.03,ATAS
0.04,-0.04,1.06,-1.06,-0.28,0.18,ATAS
0.04,-0.04,1.06,-1.21,-0.5,0.15,ATAS
0.05,-0.04,1.06,-0.84,-0.91,0.16,ATAS
0.05,-0.03,1.05,-1.11,-0.25,0.05,ATAS
0.05,-0.03,1.06,-0.84,-0.79,-0.02,ATAS
0.05,-0.03,1.06,-1.16,2.07,0.15,ATAS
0.05,-0.03,1.06,-0.97,0.7,0.22,ATAS
0.04,-0.04,1.06,-0.95,0.85,0.15,ATAS
0.05,-0.04,1.07,-1.06,1.4,0.16,ATAS
0.04,-0.04,1.06,-0.95,0.74,0.1,ATAS
0.05,-0.04,1.06,-0.87,-0.19,-0.03,ATAS
0.05,-0.04,1.06,-1.15,0.22,0.25,ATAS
0.04,-0.04,1.07,-1.08,0.48,-0.05,ATAS
0.08,-0.03,1.05,-1.05,0.95,0.35,ATAS
0.05,-0.04,1.05,-1.05,0.8,0.27,ATAS
0.04,-0.04,1.06,-1.11,1.09,0.16,ATAS
0.05,-0.03,1.06,-0.95,0.27,0.25,ATAS
0.05,-0.04,1.06,-1.3,0.14,0.18,ATAS
0.05,-0.04,1.05,-0.92,1.24,0.06,ATAS
0.04,-0.04,1.06,-0.98,0.24,0.04,ATAS
0.06,-0.04,1.06,-1.16,1.75,-0.02,ATAS
0.05,-0.04,1.05,-1.18,0.79,0.33,ATAS
0.04,-0.04,1.06,-1.19,0.52,0.16,ATAS
0.06,-0.03,1.05,-1.02,1.44,0.02,ATAS
0.05,-0.03,1.06,-1.21,2.2,0.3,ATAS
0.05,-0.04,1.05,-0.89,0.52,0.08,ATAS
0.06,-0.03,1.07,-1.25,-0.68,0.16,ATAS
0.05,-0.03,1.06,-1.21,1.11,0.17,ATAS
0.06,-0.03,1.07,-0.98,0.08,0.2,ATAS
0.04,-0.04,1.05,-1.27,-0.23,0.21,ATAS
0.05,-0.04,1.06,-1.03,-0.28,0.05,ATAS
0.03,-0.03,1.07,-1.11,0.14,-0.03,ATAS
0.05,-0.04,1.06,-1.09,0.69,0.18,ATAS
0.05,-0.03,1.07,-1.03,-0.54,-0.08,ATAS
0.04,-0.04,1.06,-1.09,-1.04,0.27,ATAS
0.05,-0.04,1.06,-1.07,0.24,0.34,ATAS
0.06,-0.04,1.06,-1.04,0.4,0.21,ATAS
0.06,-0.03,1.05,-1.27,0.84,0.21,ATAS
0.04,-0.04,1.06,-0.97,0.79,0.12,ATAS
0.05,-0.04,1.06,-1.21,-0.21,-0.03,ATAS
0.04,-0.03,1.06,-1.28,3.37,0.21,ATAS
0.05,-0.04,1.06,-0.99,0.56,0.24,ATAS
0.05,-0.04,1.06,-1.11,-0.64,-0.02,ATAS
0.05,-0.03,1.06,-1.05,-2.15,0.16,ATAS
0.05,-0.04,1.05,-1.18,-0.74,0.23,ATAS
0.05,-0.03,1.05,-1.39,-1.85,0.08,ATAS
0.04,-0.03,1.06,-1.26,0.41,0.2,ATAS
0.05,-0.04,1.06,-1.31,0.08,0.09,ATAS
0.05,-0.03,1.06,-1.21,0.93,0.11,ATAS
0.05,-0.04,1.06,-1.09,-1.34,-0.04,ATAS
0.05,-0.04,1.05,-1.1,-0.66,0.07,ATAS
0.06,-0.03,1.05,-1.34,0.43,0.02,ATAS
0.04,-0.04,1.06,-1.05,0.21,0.12,ATAS
0.04,-0.04,1.05,-0.92,-0.01,0.24,ATAS
0.05,-0.04,1.06,-1.26,0.01,0.2,ATAS
0.04,-0.03,1.06,-1.18,0.47,0.31,ATAS
0.05,-0.03,1.06,-0.96,-1.34,-0.02,ATAS
0.04,-0.04,1.06,-0.93,0.98,0.15,ATAS
0.05,-0.04,1.07,-1.41,-0.97,0.45,ATAS
0.05,-0.03,1.06,-1.25,1.33,0.34,ATAS
0.05,-0.03,1.06,-1.02,0.64,0.14,ATAS
0.06,-0.03,1.05,-1.17,1.15,0.11,ATAS
0.04,-0.04,1.06,-1.02,-0.08,0.04,ATAS
0.04,-0.04,1.06,-0.76,-0.28,0.13,ATAS
0.06,-0.04,1.06,-1.14,1.23,0.11,ATAS
0.05,-0.03,1.06,-1.2,2,0.11,ATAS
0.04,-0.04,1.07,-1.03,-0.72,0.01,ATAS
0.04,-0.03,1.06,-0.83,-1.47,0.2,ATAS
0.06,-0.04,1.06,-0.98,-0.6,0.14,ATAS
0.04,-0.04,1.07,-0.9,0.37,0.27,ATAS
0.05,-0.03,1.07,-0.91,0.17,0.17,ATAS
0.05,-0.04,1.06,-1.14,0.42,0.23,ATAS
0.04,-0.04,1.06,-0.98,0.39,0.07,ATAS
0.05,-0.03,1.06,-1.15,0.11,0.22,ATAS
0.05,-0.03,1.06,-1.14,1.56,0.23,ATAS
0.04,-0.04,1.06,-1.15,0.47,0.21,ATAS
0.04,-0.04,1.06,-0.94,0.98,0.38,ATAS
0.05,-0.04,1.05,-0.78,-1.62,0.11,ATAS
0.05,-0.04,1.06,-1.01,-0.32,-0.05,ATAS
0.05,-0.03,1.05,-0.95,0.53,0.22,ATAS
0.05,-0.04,1.06,-1.26,-1.2,0.04,ATAS
0.05,-0.04,1.06,-1.05,1.47,0.24,ATAS
0.04,-0.04,1.07,-0.99,0.4,-0.1,ATAS
0.05,-0.04,1.06,-1.09,0.55,-0.07,ATAS
0.03,-0.03,1.06,-0.83,0.02,0.25,ATAS
0.06,-0.03,1.06,-1.02,0.27,0.09,ATAS
0.04,-0.03,1.06,-0.91,-1.15,0.18,ATAS
0.06,-0.04,1.06,-1.24,0.39,0.05,ATAS
0.06,-0.04,1.06,-1.15,1.22,0.05,ATAS
0.05,-0.04,1.05,-1.22,1.31,0.1,ATAS
0.05,-0.04,1.06,-1.07,-0.24,0.14,ATAS
0.05,-0.04,1.06,-1.18,0.35,0.44,ATAS
0.05,-0.03,1.06,-1.03,0.66,0.35,ATAS
0.05,-0.04,1.06,-1.01,1.37,0.15,ATAS
0.05,-0.04,1.06,-1.13,1.66,0.18,ATAS
0.04,-0.03,1.05,-0.82,1.38,0.27,ATAS
0.05,-0.04,1.06,-1.27,3.4,0.2,ATAS
0.04,-0.03,1.06,-1.28,1.89,-0.01,ATAS
0.05,-0.04,1.07,-0.82,1.39,0.23,ATAS
0.05,-0.04,1.06,-1.09,0.34,-0.01,ATAS
0.04,-0.04,1.06,-1.35,1.2,0.18,ATAS
0.04,-0.04,1.06,-1.24,0.82,0.1,ATAS
0.05,-0.03,1.06,-0.97,-0.2,0.25,ATAS
0.05,-0.04,1.06,-1.05,1,0.18,ATAS
0.05,-0.04,1.05,-0.9,-1.25,0.09,ATAS
0.05,-0.04,1.07,-1.05,0.65,0.2,ATAS
0.06,-0.03,1.05,-1.14,1.05,0.19,ATAS
0.04,-0.04,1.06,-1.19,1.53,0.39,ATAS
0.05,-0.04,1.06,-0.95,1.54,0.09,ATAS
0.06,-0.03,1.06,-1.15,-0.17,0.06,ATAS
0.05,-0.03,1.06,-1.21,0.11,-0.11,ATAS
0.05,-0.04,1.07,-1.02,0.38,0.11,ATAS
0.05,-0.04,1.06,-0.7,3.24,0.08,ATAS
0.04,-0.03,1.06,-0.89,0.19,0.18,ATAS
0.06,-0.04,1.06,-1.15,0.44,0.11,ATAS
0.05,-0.03,1.06,-1.05,0.98,0.08,ATAS
0.05,-0.04,1.06,-1.31,-0.53,0.13,ATAS
0.05,-0.03,1.05,-1.02,0.51,0.28,ATAS
0.06,-0.03,1.06,-1.14,1.3,0.26,ATAS
0.06,-0.03,1.06,-1.17,-0.19,0.33,ATAS
0.05,-0.03,1.06,-0.99,-1.06,0.18,ATAS
0.05,-0.03,1.07,-1.18,-1.34,0.09,ATAS
0.05,-0.04,1.06,-0.9,1.94,0.11,ATAS
0.04,-0.03,1.06,-0.79,-0.85,0.05,ATAS
0.02,-0.03,1.06,-1.17,-2.18,0.28,ATAS
0.05,-0.04,1.06,-0.73,-0.14,0.13,ATAS
0.06,-0.04,1.06,-0.73,-0.88,0.04,ATAS
0.05,-0.04,1.06,-0.84,0.06,0.19,ATAS
0.05,-0.04,1.05,-1.06,0.69,-0.07,ATAS
0.05,-0.03,1.06,-0.95,0.07,-0.02,ATAS
0.05,-0.03,1.07,-0.6,0.02,0.11,ATAS
0.05,-0.04,1.06,-1.21,3.09,0.22,ATAS
0.05,-0.03,1.07,-1.3,1.17,-0.02,ATAS
0.05,-0.03,1.07,-0.94,1.37,0.27,ATAS
0.05,-0.03,1.06,-0.78,1.23,0.28,ATAS
0.05,-0.04,1.06,-1.28,0.45,0.08,ATAS
0.06,-0.03,1.06,-1.11,1.34,0.28,ATAS
0.06,-0.04,1.06,-0.99,4.14,0.22,ATAS
0.03,-0.04,1.05,-1.91,-1,0.11,ATAS
0.06,-0.04,1.05,-1.33,1.74,0.29,ATAS
0.05,-0.03,1.06,-0.98,3.15,0.02,ATAS
0.07,-0.03,1.07,-1.31,0.31,0.18,ATAS
0.06,-0.03,1.06,-1.11,2.89,0.18,ATAS
0.05,-0.04,1.06,-1.2,0.16,0.08,ATAS
0.05,-0.03,1.06,-0.73,0.25,0.14,ATAS
0.06,-0.04,1.06,-1.05,-1.15,0.09,ATAS
0.06,-0.03,1.05,-0.77,0.56,0.12,ATAS
0.05,-0.04,1.07,-1.15,-0.11,0.26,ATAS
0.05,-0.03,1.07,-1.15,-0.33,0.1,ATAS
0.05,-0.03,1.05,-1.28,-1.56,-0.01,ATAS
0.05,-0.03,1.06,-1.1,2.82,0.21,ATAS
0.05,-0.03,1.06,-1.04,0.66,0.31,ATAS
0.06,-0.04,1.06,-1.06,0.32,0.09,ATAS
0.05,-0.04,1.06,-1.27,1.32,0.26,ATAS
0.05,-0.04,1.06,-1.31,0.85,0.06,ATAS
0.05,-0.03,1.06,-0.96,-0.05,0.06,ATAS
0.06,-0.03,1.06,-1.16,-0.5,0.21,ATAS
0.06,-0.04,1.06,-1.07,1.07,0.12,ATAS
0.05,-0.03,1.06,-1.07,0.3,0.04,ATAS
0.05,-0.03,1.06,-1.16,1.47,0.26,ATAS
0.05,-0.03,1.06,-1.12,1.8,0.21,ATAS
0.05,-0.04,1.06,-0.89,0.66,0.27,ATAS
0.05,-0.03,1.06,-1.14,1.02,0.31,ATAS
0.05,-0.03,1.06,-0.78,0.12,0.27,ATAS
0.05,-0.04,1.05,-0.77,0.59,0.24,ATAS
0.05,-0.03,1.05,-1.18,0.18,0.21,ATAS
0.04,-0.04,1.06,-1.69,-1,-0.08,ATAS
0.05,-0.03,1.05,-0.49,-0.33,0.04,ATAS
0.05,-0.04,1.06,-1.4,-0.27,0.1,ATAS
0.06,-0.03,1.05,-1.42,3.1,0.1,ATAS
0.07,-0.04,1.06,-1.48,-1.26,0.02,ATAS
0.05,-0.04,1.06,-0.63,-0.97,0.21,ATAS
0.06,-0.03,1.07,-0.42,-1.97,0.37,ATAS
0.05,-0.03,1.06,-0.98,-2.32,0.03,ATAS
0.05,-0.03,1.06,-0.81,-3.95,0.08,ATAS
0.04,-0.03,1.06,-0.95,-0.35,0.33,ATAS
0.06,-0.03,1.07,-1.08,0.57,-0.33,ATAS
0.06,-0.03,1.06,-1,-2.05,0.17,ATAS
0.05,-0.03,1.06,-0.82,-1.7,-0.08,ATAS
0.06,-0.03,1.05,-1.02,0.34,0.24,ATAS
0.07,-0.03,1.06,-1.68,-3.23,0.06,ATAS
0.06,-0.03,1.06,-1.22,3.27,0.15,ATAS
0.06,-0.04,1.06,-1.54,0.76,0.09,ATAS
0.06,-0.03,1.07,-0.82,1.07,0.11,ATAS
0.05,-0.03,1.06,-1.15,-0.67,0.13,ATAS
0.06,-0.04,1.06,-1.24,1.84,0.04,ATAS
0.05,-0.03,1.07,-1.08,2.82,-0.09,ATAS
0.06,-0.04,1.06,-0.95,1.62,0.05,ATAS
0.05,-0.03,1.06,-1.02,-0.76,0.12,ATAS
0.06,-0.03,1.05,-1.02,-0.5,0.1,ATAS
0.06,-0.03,1.06,-1.16,0.14,0.08,ATAS
0.04,-0.03,1.06,-1.11,0.2,0.11,ATAS
0.04,-0.03,1.06,-0.8,-1.14,0.17,ATAS
0.05,-0.03,1.07,-0.9,-1.25,0.29,ATAS
0.05,-0.03,1.07,-1.02,-0.26,0.05,ATAS
0.04,-0.03,1.06,-1.31,0.41,-0.02,ATAS
0.05,-0.03,1.05,-1.07,1.7,0.05,ATAS
0.07,-0.03,1.06,-1.14,-1.84,0.05,ATAS
-0.01,0.02,-0.98,-5.75,-0.7,0.37,BAWAH
-0.01,0.02,-0.98,-0.71,0.26,0.04,BAWAH
-0.01,0.02,-0.98,-1.15,-0.3,0.36,BAWAH
-0.01,0.04,-0.97,-1.3,0.61,0.4,BAWAH
-0.01,0.02,-0.97,-1.47,0.18,0.08,BAWAH
-0.02,0.02,-0.97,-1.16,0.4,0.03,BAWAH
-0.01,0.03,-0.97,-0.97,0.36,0.09,BAWAH
-0.01,0.03,-0.97,-1.45,0.47,0.18,BAWAH
-0.01,0.03,-0.97,-1.19,0.39,0.15,BAWAH
-0.02,0.03,-0.97,-1.19,0.4,0.16,BAWAH
0,0.02,-0.98,-1.01,0.6,0.08,BAWAH
-0.01,0.03,-0.97,-1.18,0.47,0.17,BAWAH
-0.01,0.03,-0.98,-1.17,0.5,0.08,BAWAH
-0.01,0.03,-0.97,-1.36,0.2,0.2,BAWAH
-0.01,0.02,-0.97,-1.24,0.33,0.08,BAWAH
-0.01,0.03,-0.97,-1.43,0.58,0.06,BAWAH
-0.01,0.03,-0.97,-1.37,-0.02,0.11,BAWAH
-0.01,0.02,-0.97,-1.33,0.41,0.08,BAWAH
-0.01,0.03,-0.96,-1.08,0.35,-0.01,BAWAH
-0.01,0.03,-0.98,-1.21,0.23,0.19,BAWAH
-0.01,0.03,-0.97,-1.28,0.39,0.14,BAWAH
-0.01,0.02,-0.98,-1.28,0.37,0.12,BAWAH
-0.01,0.03,-0.97,-1.2,0.1,0.08,BAWAH
-0.02,0.02,-0.97,-1.24,0.36,0.22,BAWAH
-0.01,0.02,-0.98,-1.32,0.4,0.08,BAWAH
-0.01,0.03,-0.97,-0.85,0.34,0.16,BAWAH
-0.01,0.03,-0.97,-1.17,0.63,0.15,BAWAH
-0.02,0.03,-0.97,-1.27,0.24,-0.02,BAWAH
-0.01,0.03,-0.97,-1.43,0.16,0.06,BAWAH
-0.01,0.02,-0.98,-1.24,0.66,0.13,BAWAH
-0.02,0.02,-0.97,-1.18,0.21,0,BAWAH
-0.01,0.02,-0.98,-1.27,0.42,0.17,BAWAH
-0.01,0.02,-0.96,-1.24,0.33,0.02,BAWAH
-0.01,0.02,-0.96,-1.18,0.73,0.06,BAWAH
-0.01,0.02,-0.96,-1.15,0.26,0.21,BAWAH
-0.01,0.03,-0.96,-1.27,0.19,-0.02,BAWAH
-0.01,0.02,-0.97,-1.15,0.52,0.24,BAWAH
-0.01,0.02,-0.97,-0.99,0.3,0.24,BAWAH
-0.01,0.02,-0.96,-1.24,0.38,0.27,BAWAH
-0.01,0.03,-0.97,-1.13,0.07,0.31,BAWAH
-0.01,0.02,-0.97,-1.31,0.58,0.09,BAWAH
-0.01,0.02,-0.96,-1.07,0.1,0.21,BAWAH
-0.01,0.03,-0.97,-1.45,-0.09,0.03,BAWAH
-0.01,0.03,-0.96,-0.53,2.83,0.11,BAWAH
0,0.03,-0.98,-1.13,0.56,0.11,BAWAH
-0.02,0.03,-0.97,-1.29,0.11,0.05,BAWAH
